question	Option_A 	Option_B	Option_C 	Option_D	Correct_Answer	Explanation
Filename: NIST.CSWP.29_part3_1.tsv An organization is using the NIST Cybersecurity Framework (CSF) to improve its cybersecurity posture. The first step in this process is to:	Create a Target Profile and implement it immediately.	Gather all the information needed to prepare the Organizational Profile.	Analyze the gaps between the Current and Target Profiles, and create an action plan.	Scope the Organizational Profile and document the high-level facts and assumptions.	d	The first step in using the CSF is to scope the Organizational Profile, documenting the high-level facts and assumptions that will define its scope.
In the NIST CSF, an Organizational Profile is typically created for:	A particular sector, subsector, technology, threat type, or other use case.	The entire organization.	A specific department or team within the organization.	A single employee.	A	An Organizational Profile is typically created for a particular sector, subsector, technology, threat type, or other use case, and can be used as the basis for an organization's Target Profile.
Which of the following is a gap analysis technique used to identify and analyze the differences between the Current and Target Profiles in the NIST CSF:	Risk Management Framework (RMF)	Plan of Action and Milestones (POA&M)	Threat Intelligence Integration (TII)	Cybersecurity Capability Maturity Model (C2M2)	B	A gap analysis is conducted to identify and analyze the differences between the Current and Target Profiles, and a Plan of Action and Milestones (POA&M) is developed to address those gaps.
Which of the following is a cybersecurity risk management methodology that complements the Tiers in the NIST CSF:	Defense-in-Depth (DiD)	Risk Analysis and Management (RAM)	Threat Intelligence Program (TIP)	Risk Assessment and Mitigation (RAM)	B	The Tiers characterize the rigor of an organization's cybersecurity risk governance and management practices, and they provide context for how an organization views cybersecurity risks and the processes in place to manage those risks. A risk analysis and management (RAM) methodology complements the Tiers and is used to manage cybersecurity risks within an organization.
An organization has identified a gap in its cybersecurity posture related to the use of multi-factor authentication (MFA). Which of the following MITRE ATT&CK techniques would be most relevant to this gap:	Initial Access - Phishing (T1566)	Initial Access - Exploit Public-Facing Application (T1190)	Credential Access - Mimikatz (T1087)	Lateral Movement - Remote Desktop Protocol (RDP) (T1021)	C	Multi-factor authentication (MFA) helps to protect against credential theft and reuse, which is a common technique used in attacks. The MITRE ATT&CK technique Credential Access - Mimikatz (T1087) is relevant to this gap as it involves the use of Mimikatz, a tool that can steal credentials from Windows systems.
Which of the following is a way an organization can use a Current Profile to communicate its cybersecurity capabilities and known opportunities for improvement with external stakeholders:	Business partners	Prospective customers	Suppliers	All of the above	D	A Current Profile can be used to document and communicate the organization's cybersecurity capabilities and known opportunities for improvement with external stakeholders, such as business partners, prospective customers, and suppliers.
Which of the following is a notional example of a concise, action-oriented step to help achieve the outcomes of the Subcategories in the NIST CSF:	Share the Organizational Profile with external stakeholders.	Develop a Plan of Action and Milestones (POA&M).	Perform a risk assessment.	Monitor network traffic for suspicious activities.	D	Examples provided in the NIST CSF are concise, action-oriented steps that help achieve the outcomes of the Subcategories. An example of a step that helps achieve the outcomes of the Subcategories is monitoring network traffic for suspicious activities.
Which of the following is a way an organization can express its cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve:	Target Profile	Community Profile	Organizational Profile	Current Profile	A	A Target Profile helps express an organization's cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve.
Which of the following is a mapping that indicates relationships between the Core and various standards, guidelines, regulations, and other content:	Informative	Implementation Examples	Quick Start Guides	Community Profiles	A	Informative resources are mappings that indicate relationships between the Core and various standards, guidelines, regulations, and other content. They help inform how an organization may achieve the Core's outcomes.
Which of the following is a notional example of a requirement from a policy that partially addresses numerous Subcategories in the NIST CSF:	Implement multi-factor authentication (MFA).	Conduct a risk assessment annually.	Develop a security incident response plan.	Perform regular vulnerability scans.	B	A policy requirement may be higher-level and partially address numerous Subcategories in the NIST CSF. An example of a higher-level requirement is conducting a risk assessment annually, which may help to address multiple Subcategories related to risk management and risk assessment.
An organization is using the NIST Cybersecurity Framework (CSF) to improve its cybersecurity posture. The first step in this process is to:	Create a Target Profile and implement it immediately.	Gather all the information needed to prepare the Organizational Profile.	Analyze the gaps between the Current and Target Profiles, and create an action plan.	Scope the Organizational Profile and document the high-level facts and assumptions.	D	
In the NIST CSF, an Organizational Profile is typically created for:	A particular sector, subsector, technology, threat type, or other use case.	The entire organization.	A specific department or team within the organization.	A single employee.	A	
Which of the following is a gap analysis technique used to identify and analyze the differences between the Current and Target Profiles in the NIST CSF:	Risk Management Framework (RMF)	Plan of Action and Milestones (POA&M)	Threat Intelligence Integration (TII)	Cybersecurity Capability Maturity Model (C2M2)	B	
Which of the following is a cybersecurity risk management methodology that complements the Tiers in the NIST CSF:	Defense-in-Depth (DiD)	Risk Analysis and Management (RAM)	Threat Intelligence Program (TIP)	Risk Assessment and Mitigation (RAM)	B	
An organization has identified a gap in its cybersecurity posture related to the use of multi-factor authentication (MFA). Which of the following MITRE ATT&CK techniques would be most relevant to this gap:	Initial Access - Phishing (T1566)	Initial Access - Exploit Public-Facing Application (T1190)	Credential Access - Mimikatz (T1087)	Lateral Movement - Remote Desktop Protocol (RDP) (T1021)	C	
Which of the following is a way an organization can use a Current Profile to communicate its cybersecurity capabilities and known opportunities for improvement with external stakeholders:	Business partners	Prospective customers	Suppliers	All of the above	D	
Which of the following is a notional example of a concise, action-oriented step to help achieve the outcomes of the Subcategories in the NIST CSF:	Share the Organizational Profile with external stakeholders.	Develop a Plan of Action and Milestones (POA&M).	Perform a risk assessment.	Monitor network traffic for suspicious activities.	D	
Which of the following is a way an organization can express its cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve:	Target Profile	Community Profile	Organizational Profile	Current Profile	A	
Which of the following is a mapping that indicates relationships between the Core and various standards, guidelines, regulations, and other content:	Informative	Implementation Examples	Quick Start Guides	Community Profiles	A	
Which of the following is a notional example of a requirement from a policy that partially addresses numerous Subcategories in the NIST CSF:	Implement multi-factor authentication (MFA).	Conduct a risk assessment annually.	Develop a security incident response plan.	Perform regular vulnerability scans.	B	
An organization is using the NIST Cybersecurity Framework (CSF) to improve its cybersecurity posture. The first step in this process is to:	Create a Target Profile and implement it immediately.	Gather all the information needed to prepare the Organizational Profile.	Analyze the gaps between the Current and Target Profiles, and create an action plan.	Scope the Organizational Profile and document the high-level facts and assumptions.	D	
In the NIST CSF, an Organizational Profile is typically created for:	A particular sector, subsector, technology, threat type, or other use case.	The entire organization.	A specific department or team within the organization.	A single employee.	A	
Which of the following is a gap analysis technique used to identify and analyze the differences between the Current and Target Profiles in the NIST CSF:	Risk Management Framework (RMF)	Plan of Action and Milestones (POA&M)	Threat Intelligence Integration (TII)	Cybersecurity Capability Maturity Model (C2M2)	B	
Which of the following is a cybersecurity risk management methodology that complements the Tiers in the NIST CSF:	Defense-in-Depth (DiD)	Risk Analysis and Management (RAM)	Threat Intelligence Program (TIP)	Risk Assessment and Mitigation (RAM)	B	
An organization has identified a gap in its cybersecurity posture related to the use of multi-factor authentication (MFA). Which of the following MITRE ATT&CK techniques would be most relevant to this gap:	Initial Access - Phishing (T1566)	Initial Access - Exploit Public-Facing Application (T1190)	Credential Access - Mimikatz (T1087)	Lateral Movement - Remote Desktop Protocol (RDP) (T1021)	C	
Which of the following is a way an organization can use a Current Profile to communicate its cybersecurity capabilities and known opportunities for improvement with external stakeholders:	Business partners	Prospective customers	Suppliers	All of the above	D	
Which of the following is a notional example of a concise, action-oriented step to help achieve the outcomes of the Subcategories in the NIST CSF:	Share the Organizational Profile with external stakeholders.	Develop a Plan of Action and Milestones (POA&M).	Perform a risk assessment.	Monitor network traffic for suspicious activities.	D	
Which of the following is a way an organization can express its cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve:	Target Profile	Community Profile	Organizational Profile	Current Profile	A	
Which of the following is a mapping that indicates relationships between the Core and various standards, guidelines, regulations, and other content:	Informative	Implementation Examples	Quick Start Guides	Community Profiles	A	
Which of the following is a notional example of a requirement from a policy that partially addresses numerous Subcategories in the NIST CSF:	Implement multi-factor authentication (MFA).	Conduct a risk assessment annually.	Develop a security incident response plan.	Perform regular vulnerability scans.	B	
Filename: NIST.CSWP.29_part4_1.tsv An organization is using the NIST Cybersecurity Framework (CSF) 2.0 to improve its risk management communication. Which component of the CSF supports bidirectional information flow between executives and managers, and between managers and practitioners?	Identify	Protect	Detect	Respond	D	The Respond function of the CSF supports bidirectional information flow between executives and managers, and between managers and practitioners, as it involves communicating about incident response, recovery, and lessons learned.
An organization has identified a gap between its Current and Target Profiles in the Protect function of the NIST CSF. Which MITRE ATT&CK technique could an attacker exploit to take advantage of this gap, leading to potential harm?	Initial Access (T1078)	Execution (T1059)	Persistence (T1072)	Command and Control (T1086)	A	The Initial Access technique is used by attackers to gain access to a system or network, which could be facilitated by a gap in the Protect function of the NIST CSF.
An organization is using the NIST CSF 2.0 to manage its cybersecurity risks and communicate with third parties. Which function of the CSF supports overseeing or communicating with these third parties?	Identify	Protect	Detect	Respond	A	The Identify function of the NIST CSF supports an organization's understanding of its cybersecurity risks, including risks associated with third parties.
An organization is using the NIST CSF 2.0 to manage its cybersecurity risks and communicate with executives. Which function of the CSF supports discussions about strategy, including how cybersecurity-related uncertainties might affect the achievement of organizational objectives?	Protect	Detect	Respond	Govern	D	The Govern function of the NIST CSF supports discussions about strategy, including how cybersecurity-related uncertainties might affect the achievement of organizational objectives.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports integrating cybersecurity risk management with enterprise risk management (ERM) programs and lower-level risk management programs?	Identify	Protect	Detect	Respond	D	The Respond function of the NIST CSF supports integrating cybersecurity risk management with enterprise risk management (ERM) programs and lower-level risk management programs.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF focuses on preparing to create and use Organizational Profiles, which involve gathering information about organizational priorities, resources, and risk direction from executives?	Identify	Protect	Detect	Respond	A	The Identify function of the NIST CSF focuses on preparing to create and use Organizational Profiles, which involve gathering information about organizational priorities, resources, and risk direction from executives.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports the implementation of actions to close any gaps identified between the Current and Target Profiles, which will be implemented by managers and practitioners?	Identify	Protect	Detect	Respond	A	The Identify function of the NIST CSF supports the implementation of actions to close any gaps identified between the Current and Target Profiles, which will be implemented by managers and practitioners.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports the ongoing assessment of the organization's cybersecurity posture, including making adjustments that further reduce potential harms and increase potential benefits?	Identify	Protect	Detect	Respond	C	The Detect function of the NIST CSF supports the ongoing assessment of the organization's cybersecurity posture, including making adjustments that further reduce potential harms and increase potential benefits.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports the sharing of cybersecurity risk data with executives, who can then combine this data with information about other types of risk from across the organization?	Identify	Protect	Detect	Respond	A	The Identify function of the NIST CSF supports the sharing of cybersecurity risk data with executives, who can then combine this data with information about other types of risk from across the organization.
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports the communication of business needs and the creation of risk-informed Organizational Profiles through collaboration between managers and practitioners?	Identify	Protect	Detect	Respond	A	The Identify function of the NIST CSF supports the communication of business needs and the creation of risk-informed Organizational Profiles through collaboration between managers and practitioners.
Which of the following best represents the practice of inventorying the organization's authorized network communication and internal and external data flows as described in the NIST CSF 2.0?	ID.AM-02	ID.AM-03	ID.AM-04	ID.AM-05	B	ID.AM-03 represents the practice of maintaining representations of the organization's authorized network communication and internal and external data flows.
Which of the following activities is NOT part of the Risk Assessment function in the NIST CSF 2.0?	Vulnerabilities in assets are identified, validated, and recorded	Cyber threat intelligence is received from information sharing forums and sources	Internal and external threats to the organization are identified and recorded	Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded, but not recorded	D	While potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded, they must be recorded for the activity to be considered part of the Risk Assessment function.
Which of the following activities is NOT part of the Improvement function in the NIST CSF 2.0?	Improvements are identified from evaluations	Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties	Improvements are identified from execution of operational processes, procedures, and activities	Improvements are identified from monitoring and analyzing logs to find potentially adverse events	D	While monitoring and analyzing logs to find potentially adverse events is part of the DETECT function, it is not part of the Improvement function.
Which of the following activities is NOT part of the Identity Management, Authentication, and Access Control function in the NIST CSF 2.0?	Identities and credentials for authorized users, services, and hardware are managed by the organization	Identities are proofed and bound to credentials based on the context of interactions	Users, services, and hardware are authenticated	Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, but not recorded	D	While access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, they must be recorded for the activity to be considered part of the Identity Management, Authentication, and Access Control function.
Which of the following activities is NOT part of the Awareness and Training function in the NIST CSF 2.0?	Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind	Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind	Personnel are provided with awareness and training to understand the organization's cybersecurity policies and procedures	Personnel are provided with training to operate specific cybersecurity tools and technologies	D	While understanding the organization's cybersecurity policies and procedures is important, it is not considered part of the Awareness and Training function in the NIST CSF 2.0.
Which of the following activities is NOT part of the Data Security function in the NIST CSF 2.0?	The confidentiality, integrity, and availability of data-at-rest are protected	The confidentiality, integrity, and availability of data-in-transit are protected	The confidentiality, integrity, and availability of data-in-use are protected	The confidentiality, integrity, and availability of software are protected	D	While the confidentiality, integrity, and availability of software are important, they are not considered part of the Data Security function in the NIST CSF 2.0.
Which of the following activities is NOT part of the Technology Infrastructure Resilience function in the NIST CSF 2.0?	Networks and environments are protected from unauthorized logical access and usage	The organization’s technology assets are protected from environmental threats	Mechanisms are implemented to achieve resilience requirements in normal and adverse situations	The organization’s physical facilities are protected from environmental threats	D	While protecting the organization’s physical facilities from environmental threats is important, it is not considered part of the Technology Infrastructure Resilience function in the NIST CSF 2.0.
Which of the following techniques is associated with monitoring networks and network services to find potentially adverse events as described in the NIST CSF 2.0?	DE.CM-01	DE.AE-01	DE.AE-02	DE.AE-03	A	DE.CM-01 represents the technique of monitoring networks and network services to find potentially adverse events.
Which of the following techniques is associated with analyzing anomalies, indicators of compromise, and other potentially adverse events to characterize the events and detect cybersecurity incidents as described in the NIST CSF 2.0?	DE.AE-01	DE.AE-02	DE.AE-03	DE.AE-04	C	DE.AE-03 represents the technique of analyzing anomalies, indicators of compromise, and other potentially adverse events to characterize the events and detect cybersecurity incidents.
Which of the following MITRE ATT&CK techniques is associated with the execution of unauthorized software?	T1055: Spearphishing Attachment	T1056: PowerShell	T1086: Injection	T1088: Data from Removable Media	C	T1086 represents the technique of injection, which can involve the execution of unauthorized software.
An organization should choose a sharing community that has a focus on what type of threat information?	Phishing Attacks	Ransomware	Advanced Persistent Threats	 Malware	C	The question asks for a community that focuses on a specific type of threat information. Advanced Persistent Threats (APT) are long-term, targeted attacks by cyber adversaries that often involve a high level of sophistication and persistence.
An organization should provide information to a sharing community that only accepts what type of information?	Non-attributed	Anonymized	Attributed	Sensitive	A	The question asks for a community that accepts specific types of information. Non-attributed information is information shared without attribution or identification of the source, often used in informal communities.
An organization should consider joining a formal sharing community because it:	Has no membership requirements	Doesn't require vetting of members	Is governed by service level agreements (SLAs) and other agreements	Provides low-quality and inaccurate information	C	Formal sharing communities have specific membership requirements, often vet their members, and operate under agreements that define the responsibilities of its members and participating organizations.
An organization should establish processes for reviewing, sanitizing, and protecting threat information that is likely to contain what type of sensitive information?	Financial	Personal Identifiable Information (PII)	Intellectual Property	Proprietary	B	The question asks for the type of sensitive information that should be reviewed, sanitized, and protected. PII is any data that can be used to identify or contact a single person.
An organization should involve the ________ team or those with the authority to enter into commitments when choosing a sharing community.	Privacy	Legal	Compliance	Security	B	The question asks for the team or individuals that should be involved in decisions related to choosing a sharing community. The legal team or those with the authority to enter into commitments should be involved due to the potential legal implications of sharing and receiving threat information.
An organization's information sharing and tracking procedures should:	Accommodate non-attributed information exchange, when needed	Automate the processing and exchange of threat information where possible	Describe how information handling designations are applied, monitored, and enforced	Establish processes for reviewing, sanitizing, and protecting threat information that is likely to contain sensitive information	D	The question asks for actions that should be included in an organization's information sharing and tracking procedures. The procedures should establish processes for reviewing, sanitizing, and protecting threat information that is likely to contain sensitive information.
An organization should track internal and external sources of threat information to:	Protect information owners	Meet legal or regulatory commitments for data protection	Balance the risks of possibly ineffective sharing against the risks of possibly flawed protection	All of the above	D	The question asks for reasons why an organization should track internal and external sources of threat information. Tracking sources is important for protecting information owners, meeting legal or regulatory commitments, and balancing the risks of sharing.
An organization's information sharing and tracking procedures should describe the roles, responsibilities, and authorities (both scope and duration) of all stakeholders to:	Ensure effective transfer of authority and flow of shared information to key decision makers	Enable collaboration with approved external communities when needed	Preserve the provenance of data by tracking who provided the information and how the information was collected, transformed, or processed	All of the above	D	The question asks for the purpose of describing roles, responsibilities, and authorities in an organization's information sharing and tracking procedures. The procedures should describe these aspects to ensure effective information flow, enable collaboration, and preserve data provenance.
Before entering into information sharing agreements, an organization should obtain approval from the:	Leadership team that has oversight for information sharing activities and for controlling the resources necessary to support the organization’s information sharing goals	Legal team or those with the authority to enter into commitments	Privacy officers and other key stakeholders that have a role in the collection, ingest, storage, analysis, publication, or protection of threat information	All of the above	D	The question asks for the parties that should be involved in approving information sharing agreements. All of the listed parties should be involved due to their roles in information sharing activities, legal commitments, privacy, and protection.
An organization should formulate procedures that allow prompt sharing of threat information while at the same time satisfying its obligations for protecting potentially sensitive data. These procedures should:	Balance the risks of possibly ineffective sharing against the risks of possibly flawed protection	Automate the processing and exchange of threat information where possible	Describe how information handling designations are applied, monitored, and enforced	All of the above	A	The question asks for the purpose of formulating procedures for sharing threat information. The procedures should balance the risks of possibly ineffective sharing against the risks of possibly flawed protection. The other options are actions that might be included in such procedures but are not the primary purpose.
Which of the following is NOT a common communication method for sharing threat information within information sharing communities?	Email lists	Conferences and workshops	Data feeds	Social media channels	D	Social media channels are not a common communication method for sharing threat information within information sharing communities.
Which of the following activities is not included in an organization’s participation in an information sharing community?	Engage in ongoing communication	Consume and respond to security alerts	Organize and store indicators	Participate in annual conferences	D	Participating in annual conferences is not a required activity for an organization’s participation in an information sharing community, although it can be a beneficial supplemental activity.
Which of the following is not part of an organization’s support plan for information sharing activities?	Identify the personnel, funding, infrastructure, and processes needed for ongoing operational support	Acquire and deploy a monitoring and threat detection infrastructure	Provide funding for the personnel, infrastructure, and training required for ongoing operational support	Engage in ongoing communication	B	Acquiring and deploying a monitoring and threat detection infrastructure is not part of an organization’s support plan for information sharing activities. This is an ongoing operational task that should be addressed through the support plan, but it is not part of the plan itself.
Which of the following is a key factor to consider when assessing the trustworthiness of a prospective information sharing community?	The size and composition of the community	The technical skills and proficiencies of the community members	The frequency and volume of data sent by the community	The community’s data retention and disposal policies	A	The size and composition of the community is a key factor to consider when assessing the trustworthiness of a prospective information sharing community. This includes understanding the number of participants, information producers, and information consumers.
Which of the following is NOT a benefit of effective use of threat information?	Avoiding the potentially much larger costs of successful attacks	Improving an organization’s fundamental cybersecurity capabilities	Replacing an organization’s fundamental cybersecurity capabilities	Mitigating the loss of institutional knowledge	C	Effective use of threat information can help avoid the potentially much larger costs of successful attacks, but it does not replace an organization’s fundamental cybersecurity capabilities.
Which of the following is a key consideration when engaging in ongoing communication within an information sharing community?	The level of detail, volume, and frequency of messages delivered in human-readable formats varies widely across information sharing communities	Communications may be event-driven (i.e., in response to the actions or behavior of an actor) or periodic, such as bi-weekly reviews, teleconferences, and annual conferences	Organizations that actively produce and share threat information are likely to incur higher communication costs	All of the above	D	All of the given considerations are key when engaging in ongoing communication within an information sharing community.
Which of the following is NOT a common data format used for threat information exchange within information sharing communities?	CSV	XML	JJSON	None of the above	D	CSV, XML, and JSON are common data formats used for threat information exchange within information sharing communities.
Which of the following is a key aspect of information sharing community governance?	Technical skills and proficiencies of the community members	What type of sharing agreement does the community use?	What are the data retention and disposal policies?	What are the initial and sustained costs of membership?	B	What type of sharing agreement does the community use is a key aspect of information sharing community governance.
Which of the following is a potential drawback of participating in information sharing communities?	Potentially much larger costs of successful attacks can be avoided	Sharing communities can help an organization improve its threat intelligence capabilities	Sharing communities can provide access to real-time threat information	Sharing communities can potentially expose an organization to more attacks	D	Sharing communities can potentially expose an organization to more attacks, as they may receive sensitive information about threats that an organization could otherwise remain unaware of.
Which of the following is a key aspect of an organization’s support plan for information sharing activities?	Collect and analyze the information from both internal and external sources	Acquire and deploy protective measures	Acquire and deploy a monitoring and threat detection infrastructure	Provide funding for the personnel, infrastructure, and training required for ongoing operational support	D	Providing funding for the personnel, infrastructure, and training required for ongoing operational support is a key aspect of an organization’s support plan for information sharing activities. The other options are activities that should be addressed through the support plan, but they are not part of the plan itself.
An organization is considering using indicators from an external source. The organization should, first and foremost, ensure that the source is:	Trusted and reputable	Offering free indicators	Sharing a large volume of indicators	Belonging to a well-known cybersecurity community	A	Ensuring that the source is trusted and reputable is the most important factor when considering using indicators from an external source.
Which of the following is NOT a common attribute of indicators stored in a knowledgebase:	Common Vulnerability Enumeration (CVE) records	Motives or intent of associated actors	Groups or actors associated with an indicator	Whether or not attacks associated with an indicator have targeted specific organizations or sectors	B	The motives or intent of associated actors are not commonly stored attributes of indicators in a knowledgebase.
An organization is concerned about the security of its indicator knowledgebase. To ensure effective security practices, it should:	Implement access controls	Perform regular backups	Verify secure configurations	Follow software development best practices	D	Implementing access controls, performing regular backups, verifying secure configurations, and following software development best practices are all important for ensuring the security of an indicator knowledgebase.
Which of the following is NOT a benefit of producing and publishing threat information by an organization?	Gaining greater expertise	Helping other organizations respond to threats	Fostering trust with other community members	Attracting more cyber attacks	D	"Producing and publishing threat information does not aim to attract more cyber attacks; rather, it aims to gain expertise, help others, and foster trust."
An organization is producing and publishing its own indicators. Which of the following is least important when deciding what metadata should accompany shared information:	Source of the indicator	Rules governing the use or sharing of the indicator	Date or time the indicator was collected	Length of time that the indicator is still considered valid	D	The length of time that an indicator is considered valid is least important compared to other metadata factors.
An organization is investigating an incident and needs to preserve evidence according to chain of custody requirements. Which NIST publication provides guidance on data preservation following chain of custody requirements?:	NIST Special Publication 800-86	NIST Special Publication 800-61	NIST Special Publication 800-88	NIST Software Assurance Metrics and Tool Evaluation (SAMATE) project	C	NIST Special Publication 800-88 provides guidance on data preservation and chain of custody requirements.
An organization has collected indicators and has determined that they are no longer needed. Which of the following is least appropriate when deciding the disposition of these indicators:	Implementing access controls	Performing regular backups	Maintaining operating system and application software	Following software development best practices	C	Maintaining operating system and application software is least relevant to the disposition of indicators compared to the other options.
Which of the following MITRE ATT&CK techniques involves using known exploits to gain access to a system (Intrusion, Initial Access):	T1078 - Valid Accounts	T1087 - Remote Services	T1080 - Exploit Public Facing Application	T1055 - Lateral Movement	C	T1080 involves using known exploits to gain access to a system as part of the Initial Access phase.
An organization is considering adopting a knowledgebase to store its indicators. Which of the following is NOT a common characteristic of a knowledgebase:	It is an attractive target of attack	It requires a structured database	It is used for developing working notes and indicator metadata	It is a free-form method such as a wiki	D	A knowledgebase typically requires a structured database, not a free-form method like a wiki.
Which of the following is least important when establishing policies and procedures for the disposition of indicators:	Data retention requirements	Information handling and retention requirements	Evidence acquisition and preservation	Adherence to laws pertaining to the submission of evidence	C	Evidence acquisition and preservation is less relevant to the specific policies and procedures for the disposition of indicators compared to data retention and handling requirements.
An organization has received indicators of compromise (IOCs) from multiple sources. Which of the following steps should it take to ensure the quality of the shared IOCs?	Remove metadata from the IOCs before sharing them.	Immediately share the IOCs with other organizations without evaluation.	Evaluate the provenance of the IOCs and their relevance to the organization's current threat landscape.	Share the IOCs with only a select group of trusted organizations.	C	Evaluating the provenance and relevance of shared IOCs helps ensure their quality and accuracy, reducing the risk of false positives or negatives that could impact the organization's security posture.
Which MITRE ATT&CK technique is associated with the use of data mining techniques to re-identify individuals in shared IOCs?	T1087 - Impersonation	T1078 - Valid Accounts	T1281 - External Remote Services	T1027 - User Execution	D	The T1027 technique involves using legitimate tools in novel or unexpected ways to execute malicious code, which could include data mining techniques to re-identify individuals in shared IOCs if the data is sensitive enough.
An organization has developed a tool to automate the sharing of IOCs with its peers. To harden the tool against potential attacks, it should:	Use weak encryption to protect the shared data.	Use strong encryption to protect the shared data.	Use weak authentication and authorization mechanisms.	Use strong authentication and authorization mechanisms.	D	Using strong authentication and authorization mechanisms helps protect the tool against potential attacks by ensuring that only authorized users can access and share the IOCs, reducing the risk of unauthorized disclosure or modification.
An organization is sharing IOCs with other organizations as part of a formal threat information sharing organization. Which of the following is a recommended practice for protecting sensitive data in these exchanges?	Use unencrypted network communications to share the data.	Use a standard data format for the exchange of indicators.	Use encrypted network communications to share the data.	Share the data via email or instant messaging services.	C	Using encrypted network communications helps protect sensitive data in threat information sharing exchanges by ensuring that the data is securely transmitted and cannot be intercepted or modified by unauthorized parties.
An organization is using a repository to store IOCs. Which of the following is a recommended practice for the repository?	The repository should be publicly accessible to anyone on the internet.	The repository should not have a written SLA for availability, security posture requirements, and acceptable use policies.	The repository should be hardened and have a written SLA for availability, security posture requirements, and acceptable use policies.	The repository should not be used at all.	C	Using a hardened repository with a written SLA for availability, security posture requirements, and acceptable use policies helps protect sensitive IOCs by ensuring that they are properly secured and that their availability and use are appropriate for the organization's needs.
An organization is sharing IOCs with a peer organization that has agreed to follow sharing rules. Which of the following is a recommended practice for sharing the IOCs with the peer organization?	Share the IOCs with the peer organization without a written agreement specifying the sharing rules.	Share the IOCs with only a select group of trusted organizations that have agreed to follow sharing rules.	Share the IOCs with any organization without regard for whether they have agreed to follow sharing rules.	Share the IOCs with the peer organization after confirming that they have agreed to follow sharing rules.	D	Sharing IOCs with a peer organization after confirming that they have agreed to follow sharing rules helps ensure that the IOCs are shared only with organizations that are trustworthy and that have agreed to follow the appropriate sharing rules.
An organization has identified a new threat and has shared IOCs related to the threat with its peers. Which of the following is a recommended practice for continuing to monitor the threat?	Stop monitoring the threat after the IOCs are shared with peers.	Continue monitoring the threat and share any new IOCs related to the threat with peers.	Continue monitoring the threat but do not share any new IOCs related to the threat with peers.	Stop monitoring the threat and delete any related IOCs from the organization's systems.	B	Continuing to monitor a threat and sharing any new IOCs related to the threat with peers helps ensure that the organization and its peers are able to effectively detect and defend against the threat.
An organization is a member of a formal threat information sharing organization and has received IOCs related to a new threat from a peer organization. Which of the following is a recommended practice for using the IOCs?	Use the IOCs immediately without evaluating their relevance to the organization's current threat landscape.	Use the IOCs only if the organization has a pre-existing relationship with the peer organization that has shared the IOCs.	Evaluate the provenance of the IOCs and their relevance to the organization's current threat landscape before using them.	Use the IOCs only if the organization has a written agreement with the peer organization specifying the sharing rules.	C	Evaluating the provenance and relevance of shared IOCs helps ensure their quality and accuracy, reducing the risk of false positives or negatives that could impact the organization's security posture.
An organization is sharing IOCs related to a new threat with its peers as part of a formal threat information sharing organization. Which of the following is a recommended practice for protecting sensitive data in the exchanges?	Use unencrypted network communications to share the data.	Use a standard data format for the exchange of indicators.	Use encrypted network communications to share the data.	Share the data via email or instant messaging services.	C	Using encrypted network communications helps protect sensitive data in threat information sharing exchanges by ensuring that the data is securely transmitted and cannot be intercepted or modified by unauthorized parties.
An organization has developed a tool to automate the sharing of IOCs with its peers. To ensure that the tool does not become a viable attack vector for threat actors, it should:	Use weak encryption to protect the shared data.	Use strong encryption to protect the shared data.	Use weak authentication and authorization mechanisms.	Use strong authentication and authorization mechanisms.	D	Using strong authentication and authorization mechanisms helps protect the tool against potential attacks by ensuring that only authorized users can access and share the IOCs, reducing the risk of unauthorized disclosure or modification.
