Question,Option A,Option B,Option C,Option D,Model Answer,Correct Answer,Is Correct,Model Response
How does Grandoreiro implement browser session hijacking techniques?,Form-grabbing,Displaying full-screen overlay images,DNS spoofing,Launching a SYN flood attack,A,B,False,"THE ANSWER IS: A) FORM-GRABBING.

GRANDOREIRO IS A BANKING TROJAN THAT STEALS ONLINE BANKING CREDENTIALS BY INJECTING MALICIOUS CODE INTO LEGITIMATE WEBSITES. THIS CODE INTERCEPTS THE USER'S LOGIN CREDENTIALS AND SENDS THEM TO THE ATTACKER. FORM-GRABBING IS A TECHNIQUE USED BY GRANDOREIRO TO STEAL THESE CREDENTIALS. IT INVOLVES INJECTING MALICIOUS CODE INTO A WEBSITE THAT CAPTURES THE USER'S LOGIN INFORMATION AS THEY TYPE IT INTO THE LOGIN FORM. THE MALICIOUS CODE THEN SENDS THIS INFORMATION TO THE ATTACKER.

THE OTHER OPTIONS ARE INCORRECT. DNS SPOOFING IS A TECHNIQUE USED TO REDIRECT USERS TO A MALICIOUS WEBSITE. A SYN FLOOD ATTACK IS A TYPE OF DENIAL-OF-SERVICE ATTACK THAT OVERWHELMS A SERVER WITH SO MANY REQUESTS THAT IT BECOMES UNAVAILABLE. DISPLAYING FULL-SCREEN OVERLAY IMAGES IS A TECHNIQUE USED TO TRICK USERS INTO CLICKING ON MALICIOUS LINKS."
"In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type ""\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?",APT38,Chimera,Calisto,DarkWatchman,C,B,False,"THE CORRECT ANSWER IS: **C**.

THE THREAT ACTOR CALISTO HAS SPECIFICALLY USED TYPE ""\\C$\USERS\\FAVORITES\LINKS\BOOKMARKS BAR\IMPORTED FROM IE*CITRIX* FOR BOOKMARK DISCOVERY.

APT38, CHIMERA, AND DARKWATCHMAN ARE NOT KNOWN TO HAVE USED THIS TECHNIQUE."
"Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?",T1217 - Browser Information Discovery,T1003 - Credential Dumping,T1027 - Obfuscated Files or Information,T1056 - Input Capture,A,A,True,"THE CORRECT ANSWER IS: A) T1217 - BROWSER INFORMATION DISCOVERY.

T1217 IS A TECHNIQUE USED BY ADVERSARIES TO RETRIEVE INFORMATION ABOUT A VICTIM'S BROWSER HISTORY. THIS INFORMATION CAN BE USED TO IDENTIFY THE VICTIM'S INTERESTS, ACTIVITIES, AND CONTACTS. IT CAN ALSO BE USED TO GAIN ACCESS TO THE VICTIM'S ACCOUNTS OR TO INSTALL MALWARE ON THE VICTIM'S COMPUTER.

DARKWATCHMAN, DTRACK, AND LIZAR ARE ALL TOOLS THAT CAN BE USED TO IMPLEMENT T1217. THESE TOOLS CAN BE USED TO EXTRACT INFORMATION FROM THE VICTIM'S BROWSER HISTORY, SUCH AS THE WEBSITES THAT THE VICTIM HAS VISITED, THE SEARCH TERMS THAT THE VICTIM HAS USED, AND THE COOKIES THAT THE VICTIM HAS STORED.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT CORRESPOND WITH THE SPECIFIC TECHNIQUE OF RETRIEVING BROWSER HISTORY. T1003 IS A TECHNIQUE USED TO DUMP CREDENTIALS, T1027 IS A TECHNIQUE USED TO OBFUSCATE FILES OR INFORMATION, AND T1056 IS A TECHNIQUE USED TO CAPTURE INPUT."
Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?,"Command, File","Command, Network Traffic","File, Process","Command, Process, File",B,D,False,"THE CORRECT ANSWER IS: **B) COMMAND, NETWORK TRAFFIC**

T1217 IS A KNOWN THREAT ACTOR TECHNIQUE THAT INVOLVES USING A COMMAND-LINE INTERFACE (CLI) TO DISCOVER INFORMATION ABOUT A TARGET'S BROWSER. THIS INFORMATION CAN THEN BE USED TO EXPLOIT VULNERABILITIES IN THE BROWSER OR TO STEAL SENSITIVE DATA.

TO DETECT POTENTIAL T1217 ACTIVITY, SECURITY PROFESSIONALS SHOULD FOCUS ON MONITORING COMMAND-LINE ACTIVITY AND NETWORK TRAFFIC. COMMAND-LINE ACTIVITY CAN BE MONITORED USING TOOLS SUCH AS SYSINTERNALS PROCESS MONITOR OR WIRESHARK. NETWORK TRAFFIC CAN BE MONITORED USING TOOLS SUCH AS SURICATA OR SNORT.

IF SUSPICIOUS COMMAND-LINE ACTIVITY OR NETWORK TRAFFIC IS DETECTED, SECURITY PROFESSIONALS SHOULD INVESTIGATE FURTHER TO DETERMINE IF IT IS INDICATIVE OF T1217 ACTIVITY.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT FOCUS ON THE DATA SOURCES THAT ARE MOST LIKELY TO CONTAIN EVIDENCE OF T1217 ACTIVITY. OPTION A, COMMAND, FILE, DOES NOT FOCUS ON NETWORK TRAFFIC, WHICH IS A CRITICAL DATA SOURCE FOR DETECTING T1217 ACTIVITY. OPTION C, FILE, PROCESS, DOES NOT FOCUS ON COMMAND-LINE ACTIVITY, WHICH IS ANOTHER CRITICAL DATA SOURCE FOR DETECTING T1217 ACTIVITY."
What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?,Credentials In Files,Remote Desktop Data,Browsing History,Network Configurations,C,C,True,"THE CORRECT ANSWER IS: C) BROWSING HISTORY.

T1217 - BROWSER INFORMATION DISCOVERY IS A TECHNIQUE USED BY THREAT ACTORS TO GATHER INFORMATION ABOUT A VICTIM'S BROWSING HABITS. THIS INFORMATION CAN BE USED TO IDENTIFY THE VICTIM'S INTERESTS, ONLINE ACTIVITIES, AND EVEN THEIR PERSONAL INFORMATION.

ONE WAY THAT THREAT ACTORS CAN GATHER THIS INFORMATION IS BY ACCESSING THE VICTIM'S BROWSING HISTORY. THIS INFORMATION IS TYPICALLY STORED IN THE USER'S PROFILE FOLDER, WHICH IS LOCATED IN THE `%APPDATA%` DIRECTORY.

THE BROWSING HISTORY FILE CONTAINS A LIST OF ALL THE WEBSITES THAT THE USER HAS VISITED IN THE PAST. THIS INFORMATION CAN BE USED TO IDENTIFY THE VICTIM'S INTERESTS, ONLINE ACTIVITIES, AND EVEN THEIR PERSONAL INFORMATION.

THEREFORE, THE BEST OPTION IS C) BROWSING HISTORY."
"In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?",By frequently updating the extension via legitimate app stores,By installing the extension via email phishing attacks,By creating browser cookies to log user activity,By modifying the browser's update URL to download updates from an adversary-controlled server,D,D,True,"THE CORRECT ANSWER IS: **D**.

BY MODIFYING THE BROWSER'S UPDATE URL TO DOWNLOAD UPDATES FROM AN ADVERSARY-CONTROLLED SERVER, THE ADVERSARY CAN ENSURE THAT THE BROWSER EXTENSION IS ALWAYS UP-TO-DATE WITH THE LATEST VERSION, WHICH MAY CONTAIN MALICIOUS CODE.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE FOR MAINTAINING PERSISTENCE. OPTION A IS NOT EFFECTIVE BECAUSE THE ADVERSARY CANNOT CONTROL WHEN THE EXTENSION IS UPDATED. OPTION B IS NOT EFFECTIVE BECAUSE THE USER MAY BE SUSPICIOUS OF AN EMAIL FROM AN UNKNOWN SENDER. OPTION C IS NOT EFFECTIVE BECAUSE THE USER MAY CLEAR THEIR BROWSER COOKIES."
Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?,Trojan horse installation,Botnet reconfiguration,Long-term RAT installation,Website defacement,A,C,False,"THE CORRECT ANSWER IS: **A**

THE MITRE ATT&CK TECHNIQUE T1176 (BROWSER EXTENSIONS) IS USED BY ADVERSARIES TO INSTALL MALICIOUS BROWSER EXTENSIONS ON VICTIM SYSTEMS. THESE EXTENSIONS CAN THEN BE USED TO STEAL SENSITIVE INFORMATION, SUCH AS PASSWORDS OR CREDIT CARD NUMBERS, OR TO INSTALL ADDITIONAL MALWARE ON THE SYSTEM.

TROJAN HORSE INSTALLATION (OPTION A) IS A TYPE OF MALWARE THAT IS DISGUISED AS A LEGITIMATE PROGRAM. ONCE INSTALLED ON A SYSTEM, A TROJAN HORSE CAN BE USED TO STEAL SENSITIVE INFORMATION, DAMAGE FILES, OR TAKE CONTROL OF THE SYSTEM.

BOTNET RECONFIGURATION (OPTION B) IS THE PROCESS OF UPDATING A BOTNET'S COMMAND AND CONTROL INFRASTRUCTURE. THIS CAN BE DONE TO IMPROVE THE BOTNET'S EFFICIENCY OR TO EVADE DETECTION.

LONG-TERM RAT INSTALLATION (OPTION C) IS THE PROCESS OF INSTALLING A REMOTE ACCESS TROJAN (RAT) ON A VICTIM SYSTEM. A RAT IS A TYPE OF MALWARE THAT ALLOWS AN ATTACKER TO CONTROL THE VICTIM SYSTEM REMOTELY.

WEBSITE DEFACEMENT (OPTION D) IS THE ACT OF CHANGING THE CONTENT OF A WEBSITE WITHOUT THE OWNER'S PERMISSION. THIS CAN BE DONE FOR MALICIOUS PURPOSES, SUCH AS TO SPREAD PROPAGANDA OR TO DAMAGE THE REPUTATION OF THE WEBSITE OWNER.

THEREFORE, THE CORRECT ANSWER IS **A**."
Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?,Setting up a firewall,Using a browser extension allow or deny list,Auditing the installed extensions,Updating antivirus definitions,B,B,True,"THE CORRECT ANSWER IS: **B) USING A BROWSER EXTENSION ALLOW OR DENY LIST**.

A BROWSER EXTENSION ALLOW OR DENY LIST IS A MITIGATION TECHNIQUE THAT CAN HELP PREVENT THE INSTALLATION OF UNAUTHORIZED BROWSER EXTENSIONS. THIS IS BECAUSE IT ALLOWS USERS TO SPECIFY WHICH EXTENSIONS ARE ALLOWED TO BE INSTALLED ON THEIR BROWSER. THIS CAN HELP TO PREVENT MALICIOUS EXTENSIONS FROM BEING INSTALLED ON USERS' BROWSERS.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT PREVENTING THE INSTALLATION OF UNAUTHORIZED BROWSER EXTENSIONS. A FIREWALL CAN HELP TO PROTECT A COMPUTER FROM UNAUTHORIZED ACCESS, BUT IT CANNOT PREVENT THE INSTALLATION OF BROWSER EXTENSIONS. AUDITING THE INSTALLED EXTENSIONS CAN HELP TO IDENTIFY MALICIOUS EXTENSIONS, BUT IT DOES NOT PREVENT THEM FROM BEING INSTALLED. UPDATING ANTIVIRUS DEFINITIONS CAN HELP TO PROTECT A COMPUTER FROM VIRUSES, BUT IT DOES NOT PREVENT THE INSTALLATION OF BROWSER EXTENSIONS.

THEREFORE, THE BEST OPTION TO PREVENT THE INSTALLATION OF UNAUTHORIZED BROWSER EXTENSIONS IS TO USE A BROWSER EXTENSION ALLOW OR DENY LIST."
What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?,Use the latest versions of antivirus software,Ensure operating systems and browsers are using the most current version,Regularly back up all browser extension files,Always use a VPN while browsing,B,B,True,"THE CORRECT ANSWER IS: **B) ENSURE OPERATING SYSTEMS AND BROWSERS ARE USING THE MOST CURRENT VERSION**.

ACCORDING TO MITRE ATT&CK, A KEY RECOMMENDATION FOR MAINTAINING SECURITY RELATED TO BROWSER EXTENSIONS IS TO ENSURE THAT OPERATING SYSTEMS AND BROWSERS ARE USING THE MOST CURRENT VERSION. THIS IS BECAUSE OUTDATED SOFTWARE CAN BE VULNERABLE TO SECURITY EXPLOITS. BY KEEPING SOFTWARE UP TO DATE, USERS CAN HELP TO PROTECT THEMSELVES FROM THESE THREATS.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT MAINTAINING SECURITY RELATED TO BROWSER EXTENSIONS. OPTION A, USING THE LATEST VERSIONS OF ANTIVIRUS SOFTWARE, CAN HELP TO PROTECT AGAINST SOME TYPES OF MALWARE, BUT IT IS NOT A COMPLETE SOLUTION. OPTION C, REGULARLY BACKING UP ALL BROWSER EXTENSION FILES, CAN HELP TO RECOVER FROM DATA LOSS IF A BROWSER EXTENSION IS COMPROMISED, BUT IT DOES NOT PREVENT THE INITIAL COMPROMISE. OPTION D, ALWAYS USING A VPN WHILE BROWSING, CAN HELP TO PROTECT PRIVACY AND SECURITY, BUT IT DOES NOT SPECIFICALLY ADDRESS THE SECURITY OF BROWSER EXTENSIONS.

THEREFORE, THE CORRECT ANSWER IS: **B) ENSURE OPERATING SYSTEMS AND BROWSERS ARE USING THE MOST CURRENT VERSION**."
"According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?",It allowed extensions to be installed directly from the command line,It required browser extensions to be signed by the developer,It restricted the use of `.mobileconfig` files and required user interaction,It allowed only approved extensions from the app store,B,C,False,"THE CORRECT ANSWER IS: **B) IT REQUIRED BROWSER EXTENSIONS TO BE SIGNED BY THE DEVELOPER**.

ACCORDING TO THE MITRE ATT&CK FRAMEWORK, MACOS 11+ CHANGED THE INSTALLATION METHOD FOR BROWSER EXTENSIONS COMPARED TO EARLIER VERSIONS BY REQUIRING BROWSER EXTENSIONS TO BE SIGNED BY THE DEVELOPER. THIS CHANGE WAS MADE TO IMPROVE SECURITY BY ENSURING THAT ONLY EXTENSIONS FROM TRUSTED DEVELOPERS CAN BE INSTALLED.

THE OTHER OPTIONS ARE INCORRECT. OPTION A IS INCORRECT BECAUSE IT IS NOT A CHANGE THAT WAS MADE IN MACOS 11+. OPTION C IS INCORRECT BECAUSE IT IS NOT A CHANGE THAT WAS MADE TO THE INSTALLATION METHOD FOR BROWSER EXTENSIONS. OPTION D IS INCORRECT BECAUSE IT IS NOT A CHANGE THAT WAS MADE IN MACOS 11+."
Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?,Least Privilege,Network Segmentation,Restrict File and Directory Permissions,Monitor System Calls,C,C,True,"THE CORRECT ANSWER IS: C) RESTRICT FILE AND DIRECTORY PERMISSIONS.

LEAST PRIVILEGE, NETWORK SEGMENTATION, AND MONITOR SYSTEM CALLS ARE ALL IMPORTANT SECURITY CONTROLS, BUT THEY DO NOT SPECIFICALLY ADDRESS THE ISSUE OF PREVENTING ADVERSARIAL MODIFICATIONS TO STARTUPITEMS. RESTRICTING FILE AND DIRECTORY PERMISSIONS IS THE MOST EFFECTIVE WAY TO PREVENT UNAUTHORIZED USERS FROM MAKING CHANGES TO THESE CRITICAL SYSTEM FILES.

HERE ARE SOME ADDITIONAL DETAILS ABOUT EACH OF THE FOUR OPTIONS:

* LEAST PRIVILEGE: THIS IS A SECURITY PRINCIPLE THAT STATES THAT USERS SHOULD ONLY BE GIVEN THE PERMISSIONS THEY NEED TO PERFORM THEIR JOB FUNCTIONS. THIS HELPS TO PREVENT UNAUTHORIZED ACCESS TO SENSITIVE DATA AND SYSTEMS.
* NETWORK SEGMENTATION: THIS IS A SECURITY TECHNIQUE THAT DIVIDES A NETWORK INTO SMALLER, MORE MANAGEABLE SEGMENTS. THIS HELPS TO LIMIT THE DAMAGE THAT CAN BE CAUSED BY A SECURITY BREACH.
* MONITOR SYSTEM CALLS: THIS IS A SECURITY TECHNIQUE THAT INVOLVES MONITORING THE SYSTEM CALLS THAT ARE MADE BY APPLICATIONS. THIS CAN HELP TO IDENTIFY MALICIOUS ACTIVITY.
* RESTRICT FILE AND DIRECTORY PERMISSIONS: THIS IS A SECURITY TECHNIQUE THAT INVOLVES RESTRICTING THE PERMISSIONS THAT USERS HAVE TO FILES AND DIRECTORIES. THIS HELPS TO PREVENT UNAUTHORIZED USERS FROM MAKING CHANGES TO THESE FILES AND DIRECTORIES."
Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?,Command,Process,Network Traffic,File,D,D,True,"THE CORRECT ANSWER IS: **D) FILE**

THE /LIBRARY/STARTUPITEMS FOLDER CONTAINS FILES THAT ARE EXECUTED WHEN A USER LOGS IN. IF AN ATTACKER IS ABLE TO MODIFY THESE FILES, THEY CAN GAIN UNAUTHORIZED ACCESS TO THE SYSTEM. THEREFORE, IT IS IMPORTANT TO MONITOR THIS FOLDER FOR UNEXPECTED CHANGES.

THE OTHER OPTIONS ARE NOT AS RELEVANT TO THIS TASK.

* OPTION A: A COMMAND IS A SEQUENCE OF INSTRUCTIONS THAT IS EXECUTED BY A COMPUTER. WHILE IT IS POSSIBLE TO USE A COMMAND TO MODIFY FILES, THIS IS NOT THE MOST COMMON WAY TO DO SO.
* OPTION B: A PROCESS IS A PROGRAM THAT IS CURRENTLY RUNNING ON A COMPUTER. WHILE IT IS POSSIBLE FOR A PROCESS TO MODIFY FILES, THIS IS NOT THE MOST COMMON WAY TO DO SO.
* OPTION C: NETWORK TRAFFIC IS THE DATA THAT IS TRANSMITTED BETWEEN COMPUTERS OVER A NETWORK. WHILE IT IS POSSIBLE FOR AN ATTACKER TO USE NETWORK TRAFFIC TO MODIFY FILES, THIS IS NOT THE MOST COMMON WAY TO DO SO."
Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004),Boot or Logon Initialization Scripts: Launchd,Boot or Logon Initialization Scripts: Systemd,Boot or Logon Initialization Scripts: RC Scripts,Boot or Logon Initialization Scripts: Cron Jobs,B,C,False,"THE CORRECT ANSWER IS: **B) BOOT OR LOGON INITIALIZATION SCRIPTS: SYSTEMD**

SYSTEMD IS A SYSTEM AND SERVICE MANAGER FOR LINUX-BASED OPERATING SYSTEMS. IT IS INTENDED TO BE A REPLACEMENT FOR THE SYSTEM V INIT SYSTEM, WHICH HAS BEEN THE STANDARD INIT SYSTEM ON LINUX FOR MANY YEARS. SYSTEMD PROVIDES A NUMBER OF FEATURES THAT ARE NOT AVAILABLE IN SYSTEM V INIT, INCLUDING:

* SUPPORT FOR MULTIPLE SERVICES TO BE STARTED AT THE SAME TIME
* SUPPORT FOR DEPENDENCY-BASED SERVICE STARTUP
* SUPPORT FOR LOGGING AND MONITORING OF SERVICES
* SUPPORT FOR AUTOMATIC RESTART OF SERVICES THAT FAIL

SYSTEMD IS USED BY A NUMBER OF LINUX DISTRIBUTIONS, INCLUDING FEDORA, RED HAT ENTERPRISE LINUX, CENTOS, AND UBUNTU. IT IS ALSO AVAILABLE FOR OTHER LINUX DISTRIBUTIONS, SUCH AS DEBIAN AND ARCH LINUX.

THE TECHNIQUE OF MODIFYING STARTUP SCRIPTS ON UNIX-LIKE SYSTEMS TO ESTABLISH PERSISTENCE IS KNOWN AS **BOOT OR LOGON INITIALIZATION SCRIPTS: SYSTEMD**. THIS TECHNIQUE INVOLVES MODIFYING THE SYSTEMD CONFIGURATION FILES TO ADD A NEW SERVICE THAT WILL BE STARTED AT BOOT TIME. THE NEW SERVICE CAN THEN BE USED TO LAUNCH THE ATTACKER'S MALWARE OR TO PROVIDE THE ATTACKER WITH A BACKDOOR INTO THE SYSTEM.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT DESCRIBE A TECHNIQUE THAT INVOLVES MODIFYING STARTUP SCRIPTS ON UNIX-LIKE SYSTEMS TO ESTABLISH PERSISTENCE."
Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004),APT29,Green Lambert,iKitten,Cyclops Blink,D,C,False,"THE CORRECT ANSWER IS: **D**.

CYCLOPS BLINK IS A MODULAR, MULTI-STAGE MALWARE FRAMEWORK THAT HAS BEEN USED IN TARGETED ATTACKS AGAINST GOVERNMENT AND MILITARY ORGANIZATIONS IN EUROPE AND ASIA SINCE AT LEAST 2016. THE MALWARE IS BELIEVED TO BE DEVELOPED BY THE RUSSIAN GOVERNMENT'S MAIN INTELLIGENCE DIRECTORATE (GRU).

ONE OF THE WAYS THAT CYCLOPS BLINK CAN PERSIST ON A VICTIM'S SYSTEM IS BY ADDING AN ENTRY TO THE RC.COMMON FILE. THIS FILE IS USED BY THE INIT SYSTEM TO START SERVICES AT BOOT TIME. BY ADDING AN ENTRY TO THIS FILE, CYCLOPS BLINK CAN ENSURE THAT IT IS STARTED AUTOMATICALLY EVERY TIME THE SYSTEM BOOTS.

THE OTHER OPTIONS ARE INCORRECT. APT29 IS A CYBER ESPIONAGE GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2008. GREEN LAMBERT IS A CYBER ESPIONAGE GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2014. IKITTEN IS A CYBERCRIME GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2017."
What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022),Employ system cryptographic signatures,Restrict the use of administrative tools,Restrict File and Directory Permissions,Utilize network segmentation,C,C,True,"THE CORRECT ANSWER IS: C) RESTRICT FILE AND DIRECTORY PERMISSIONS.

THE RC.COMMON FILE IS A SYSTEM CONFIGURATION FILE THAT CONTAINS A LIST OF COMMANDS THAT ARE EXECUTED WHEN THE SYSTEM BOOTS UP. IF THIS FILE IS MODIFIED, IT COULD ALLOW AN ATTACKER TO GAIN UNAUTHORIZED ACCESS TO THE SYSTEM. RESTRICTING FILE AND DIRECTORY PERMISSIONS IS THE BEST WAY TO PREVENT UNAUTHORIZED EDITING OF THIS FILE.

EMPLOYING SYSTEM CRYPTOGRAPHIC SIGNATURES CAN HELP TO PREVENT UNAUTHORIZED CHANGES TO SYSTEM FILES, BUT IT IS NOT A SPECIFIC MITIGATION STRATEGY FOR PREVENTING UNAUTHORIZED EDITING OF THE RC.COMMON FILE. RESTRICTING THE USE OF ADMINISTRATIVE TOOLS CAN HELP TO PREVENT UNAUTHORIZED USERS FROM ACCESSING THE RC.COMMON FILE, BUT IT IS NOT A SPECIFIC MITIGATION STRATEGY FOR PREVENTING UNAUTHORIZED EDITING OF THIS FILE. UTILIZING NETWORK SEGMENTATION CAN HELP TO PREVENT UNAUTHORIZED USERS FROM ACCESSING THE SYSTEM, BUT IT IS NOT A SPECIFIC MITIGATION STRATEGY FOR PREVENTING UNAUTHORIZED EDITING OF THE RC.COMMON FILE."
Which mitigation is recommended for restricting write access to network logon scripts?,M1021: Restrict Registry Permissions,M1023: Restrict Library Access,M1022: Restrict File and Directory Permissions,M1024: Restrict Process Execution,C,C,True,"THE CORRECT ANSWER IS: C) M1022: RESTRICT FILE AND DIRECTORY PERMISSIONS.

MITIGATION M1022 IS THE MOST APPROPRIATE OPTION FOR RESTRICTING WRITE ACCESS TO NETWORK LOGON SCRIPTS. THIS MITIGATION INVOLVES CONFIGURING FILE AND DIRECTORY PERMISSIONS TO PREVENT UNAUTHORIZED USERS FROM WRITING TO THESE FILES. THIS CAN BE DONE BY SETTING THE PERMISSIONS ON THE FILES AND DIRECTORIES TO READ-ONLY FOR UNAUTHORIZED USERS.

THE OTHER OPTIONS ARE NOT AS APPROPRIATE FOR THIS MITIGATION. OPTION A, M1021: RESTRICT REGISTRY PERMISSIONS, WOULD NOT BE AS EFFECTIVE BECAUSE IT WOULD NOT PREVENT UNAUTHORIZED USERS FROM WRITING TO NETWORK LOGON SCRIPTS THAT ARE STORED IN THE FILE SYSTEM. OPTION B, M1023: RESTRICT LIBRARY ACCESS, WOULD NOT BE AS EFFECTIVE BECAUSE IT WOULD NOT PREVENT UNAUTHORIZED USERS FROM WRITING TO NETWORK LOGON SCRIPTS THAT ARE STORED IN THE FILE SYSTEM. OPTION D, M1024: RESTRICT PROCESS EXECUTION, WOULD NOT BE AS EFFECTIVE BECAUSE IT WOULD NOT PREVENT UNAUTHORIZED USERS FROM WRITING TO NETWORK LOGON SCRIPTS THAT ARE STORED IN THE FILE SYSTEM."
What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?,DS0017: Command,DS0009: Process,DS0022: File,DS0026: Active Directory,D,D,True,"THE CORRECT ANSWER IS: D) DS0026: ACTIVE DIRECTORY.

ACTIVE DIRECTORY IS A DIRECTORY SERVICE THAT PROVIDES A CENTRAL LOCATION FOR STORING AND MANAGING INFORMATION ABOUT USERS, COMPUTERS, AND OTHER RESOURCES IN A NETWORK. IT IS A CRITICAL PART OF MANY ORGANIZATIONS' IT INFRASTRUCTURE, AND IT IS OFTEN TARGETED BY ATTACKERS.

ONE WAY THAT ATTACKERS CAN EXPLOIT ACTIVE DIRECTORY IS BY MODIFYING NETWORK LOGON SCRIPTS. LOGON SCRIPTS ARE USED TO RUN COMMANDS OR PROGRAMS WHEN A USER LOGS ON TO A COMPUTER. ATTACKERS CAN MODIFY LOGON SCRIPTS TO INSTALL MALWARE, STEAL PASSWORDS, OR GAIN UNAUTHORIZED ACCESS TO SYSTEMS.

TO DETECT MODIFICATIONS IN ACTIVE DIRECTORY RELATED TO NETWORK LOGON SCRIPTS, ORGANIZATIONS SHOULD MONITOR THE DS0026 DATA SOURCE. THIS DATA SOURCE CONTAINS INFORMATION ABOUT CHANGES MADE TO ACTIVE DIRECTORY OBJECTS, INCLUDING LOGON SCRIPTS. BY MONITORING THIS DATA SOURCE, ORGANIZATIONS CAN IDENTIFY SUSPICIOUS CHANGES THAT MAY INDICATE AN ATTACK.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT PROVIDE INFORMATION ABOUT CHANGES MADE TO ACTIVE DIRECTORY OBJECTS. OPTION A, DS0017: COMMAND, CONTAINS INFORMATION ABOUT COMMANDS THAT ARE RUN ON COMPUTERS. OPTION B, DS0009: PROCESS, CONTAINS INFORMATION ABOUT PROCESSES THAT ARE RUNNING ON COMPUTERS. OPTION C, DS0022: FILE, CONTAINS INFORMATION ABOUT FILES THAT ARE ACCESSED ON COMPUTERS."
What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?,Adversaries modify the /etc/passwd file to include a malicious entry,Adversaries add or insert a path to a malicious script in the com.apple.loginwindow.plist file,Adversaries exploit default passwords on macOS services,Adversaries install a rogue kernel module upon boot,B,B,True,"THE CORRECT ANSWER IS: B.

ACCORDING TO MITRE ATT&CK TECHNIQUE T1037.002, ADVERSARIES USE A LOGIN HOOK TO ESTABLISH PERSISTENCE BY ADDING OR INSERTING A PATH TO A MALICIOUS SCRIPT IN THE COM.APPLE.LOGINWINDOW.PLIST FILE. THIS FILE IS RESPONSIBLE FOR LOADING LOGIN ITEMS AT STARTUP, AND BY ADDING A MALICIOUS SCRIPT TO THIS FILE, THE ADVERSARY CAN ENSURE THAT THEIR MALICIOUS CODE IS EXECUTED EVERY TIME THE USER LOGS IN.

THE OTHER OPTIONS ARE INCORRECT. OPTION A IS INCORRECT BECAUSE THE /ETC/PASSWD FILE IS USED TO STORE USER ACCOUNT INFORMATION, AND MODIFYING THIS FILE WOULD NOT ALLOW THE ADVERSARY TO ESTABLISH PERSISTENCE. OPTION C IS INCORRECT BECAUSE EXPLOITING DEFAULT PASSWORDS ON MACOS SERVICES WOULD NOT ALLOW THE ADVERSARY TO EXECUTE CODE ON THE SYSTEM. OPTION D IS INCORRECT BECAUSE INSTALLING A ROGUE KERNEL MODULE UPON BOOT WOULD NOT ALLOW THE ADVERSARY TO ADD A MALICIOUS SCRIPT TO THE COM.APPLE.LOGINWINDOW.PLIST FILE."
